Cities,Coordinates
Adana,"{'x': -1.0, 'y': -123.0}"
Adıyaman,"{'x': 180.0, 'y': -62.0}"
Afyonkarahisar,"{'x': -298.0, 'y': 12.0}"
Ağrı,"{'x': 464.0, 'y': 104.0}"
Aksaray,"{'x': -92.0, 'y': -19.0}"
Amasya,"{'x': 15.0, 'y': 162.0}"
Ankara,"{'x': -176.0, 'y': 93.0}"
Antalya,"{'x': -301.0, 'y': -127.0}"
Ardahan,"{'x': 439.0, 'y': 218.0}"
Artvin,"{'x': 376.0, 'y': 220.0}"
Aydın,"{'x': -464.0, 'y': -58.0}"
Balıkesir,"{'x': -463.0, 'y': 95.0}"
Bartın,"{'x': -182.0, 'y': 234.0}"
Batman,"{'x': 367.0, 'y': -48.0}"
Bayburt,"{'x': 286.0, 'y': 140.0}"
Bilecik,"{'x': -327.0, 'y': 125.0}"
Bingöl,"{'x': 316.0, 'y': 47.0}"
Bitlis,"{'x': 414.0, 'y': 4.0}"
Bolu,"{'x': -223.0, 'y': 162.0}"
Burdur,"{'x': -341.0, 'y': -89.0}"
Bursa,"{'x': -381.0, 'y': 123.0}"
Çanakkale,"{'x': -521.0, 'y': 128.0}"
Çankırı,"{'x': -116.0, 'y': 157.0}"
Çorum,"{'x': -44.0, 'y': 145.0}"
Denizli,"{'x': -393.0, 'y': -59.0}"
Diyarbakır,"{'x': 299.0, 'y': -35.0}"
Düzce,"{'x': -258.0, 'y': 177.0}"
Edirne,"{'x': -519.0, 'y': 257.0}"
Elazığ,"{'x': 225.0, 'y': 3.0}"
Erzincan,"{'x': 227.0, 'y': 94.0}"
Erzurum,"{'x': 355.0, 'y': 123.0}"
Eskişehir,"{'x': -275.0, 'y': 79.0}"
Gaziantep,"{'x': 127.0, 'y': -120.0}"
Giresun,"{'x': 180.0, 'y': 167.0}"
Gümüşhane,"{'x': 233.0, 'y': 145.0}"
Hakkari,"{'x': 536.0, 'y': -60.0}"
Hatay,"{'x': 56.0, 'y': -183.0}"
Iğdır,"{'x': 519.0, 'y': 133.0}"
Isparta,"{'x': -274.0, 'y': -63.0}"
Istanbul,"{'x': -393.0, 'y': 205.0}"
Izmir,"{'x': -509.0, 'y': -15.0}"
Kahramanmaraş,"{'x': 99.0, 'y': -58.0}"
Karabük,"{'x': -169.0, 'y': 198.0}"
Karaman,"{'x': -135.0, 'y': -118.0}"
Kars,"{'x': 460.0, 'y': 177.0}"
Kastamonu,"{'x': -113.0, 'y': 229.0}"
Kayseri,"{'x': 20.0, 'y': -0.0}"
Kilis,"{'x': 110.0, 'y': -151.0}"
Kırıkkale,"{'x': -105.0, 'y': 90.0}"
Kırklareli,"{'x': -469.0, 'y': 254.0}"
Kırşehir,"{'x': -80.0, 'y': 51.0}"
Kocaeli,"{'x': -327.0, 'y': 183.0}"
Konya,"{'x': -187.0, 'y': -46.0}"
Kütahya,"{'x': -357.0, 'y': 55.0}"
Malatya,"{'x': 159.0, 'y': -8.0}"
Manisa,"{'x': -468.0, 'y': 20.0}"
Mardin,"{'x': 336.0, 'y': -88.0}"
Mersin,"{'x': -80.0, 'y': -147.0}"
Muğla,"{'x': -440.0, 'y': -105.0}"
Muş,"{'x': 380.0, 'y': 39.0}"
Nevşehir,"{'x': -42.0, 'y': 6.0}"
Niğde,"{'x': -45.0, 'y': -58.0}"
Ordu,"{'x': 122.0, 'y': 176.0}"
Osmaniye,"{'x': 55.0, 'y': -116.0}"
Rize,"{'x': 316.0, 'y': 191.0}"
Sakarya,"{'x': -294.0, 'y': 174.0}"
Samsun,"{'x': 31.0, 'y': 204.0}"
Şanlıurfa,"{'x': 236.0, 'y': -118.0}"
Siirt,"{'x': 417.0, 'y': -40.0}"
Sinop,"{'x': -36.0, 'y': 244.0}"
Sivas,"{'x': 106.0, 'y': 78.0}"
Şırnak,"{'x': 448.0, 'y': -74.0}"
Tekirdağ,"{'x': -486.0, 'y': 199.0}"
Tokat,"{'x': 62.0, 'y': 136.0}"
Trabzon,"{'x': 251.0, 'y': 184.0}"
Tunceli,"{'x': 245.0, 'y': 55.0}"
Uşak,"{'x': -378.0, 'y': 1.0}"
Van,"{'x': 514.0, 'y': 9.0}"
Yalova,"{'x': -376.0, 'y': 161.0}"
Yozgat,"{'x': -14.0, 'y': 74.0}"
Zonguldak,"{'x': -211.0, 'y': 210.0}"
